feature,importance,mean_absolute_shap,gain_rank,shap_rank
FLAG_EMP_PHONE,0.0,0.0,206.0,206.0
BUREAU_HAS_HISTORY,0.0,0.0,206.0,206.0
BUREAU_OVERDUE_COUNT,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_9,0.0,0.0,206.0,206.0
CODE_GENDER_XNA,0.0,0.0,206.0,206.0
PREV_HAS_HISTORY,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_10,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_7,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_12,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_5,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_14,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_15,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_4,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_17,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_21,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_19,0.0,0.0,206.0,206.0
FLAG_DOCUMENT_2,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Transport: type 4,0.0,0.0,206.0,206.0
NAME_TYPE_SUITE_Other_A,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Transport: type 1,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Emergency,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Electricity,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Culture,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Cleaning,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Agriculture,0.0,0.0,206.0,206.0
OCCUPATION_TYPE_Secretaries,0.0,0.0,206.0,206.0
OCCUPATION_TYPE_Realty agents,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Housing,0.0,0.0,206.0,206.0
NAME_INCOME_TYPE_Businessman,0.0,0.0,206.0,206.0
NAME_INCOME_TYPE_Maternity leave,0.0,0.0,206.0,206.0
OCCUPATION_TYPE_HR staff,0.0,0.0,206.0,206.0
NAME_INCOME_TYPE_Pensioner,0.0,0.0,206.0,206.0
NAME_INCOME_TYPE_Student,0.0,0.0,206.0,206.0
OCCUPATION_TYPE_Cleaning staff,0.0,0.0,206.0,206.0
NAME_INCOME_TYPE_Unemployed,0.0,0.0,206.0,206.0
NAME_TYPE_SUITE_Group of people,0.0,0.0,206.0,206.0
OCCUPATION_TYPE_IT staff,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Industry: type 10,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Industry: type 11,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Industry: type 13,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Trade: type 5,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Trade: type 4,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Trade: type 1,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Telecom,0.0,0.0,206.0,206.0
FLAG_OWN_REALTY_Y,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Religion,0.0,0.0,206.0,206.0
INST_HAS_HISTORY,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Mobile,0.0,0.0,206.0,206.0
NAME_CONTRACT_TYPE_Revolving loans,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Legal Services,0.0,0.0,206.0,206.0
NAME_EDUCATION_TYPE_Academic degree,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Insurance,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Industry: type 8,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Industry: type 7,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Industry: type 6,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Industry: type 4,0.0,0.0,206.0,206.0
ORGANIZATION_TYPE_Industry: type 2,0.0,0.0,206.0,206.0
FLAG_MOBIL,0.0,0.0,206.0,206.0
NAME_FAMILY_STATUS_Unknown,0.0,0.0,206.0,206.0
